ED,Hue,Sat,Lum,sdHue,sdSat,sdBright,Entropy,SED,NSED
0.107457682,1.506022165,0.143762376,0.460050845,1.630970619,0.144435368,0.185920516,7.320462337,0.039660417,0.070036458
0.09218099,1.169466317,0.131582903,0.529354958,1.506603246,0.101481549,0.190098322,7.287471483,0.0530125,0.04925625
0.111832682,1.282399095,0.155949641,0.411686338,1.000698606,0.12369224,0.18037219,7.24918925,0.046725,0.069823958
0.100201823,1.063991498,0.169146407,0.489284148,1.319570038,0.164301863,0.204881546,7.450155438,0.050452083,0.066047917
0.110808919,1.174700667,0.166029201,0.50701971,1.181459596,0.13919786,0.188383397,7.370146857,0.041902083,0.074152083
0.111617839,1.223873568,0.176740732,0.480540888,1.403948182,0.159076772,0.198898266,7.428096439,0.050552083,0.071155208
0.106604818,0.594640202,0.195630772,0.489455104,1.491547228,0.198880777,0.213784233,7.576491096,0.06399375,0.062223958
0.096004232,0.639209403,0.164072843,0.540438623,1.337047452,0.181838526,0.214271069,7.424862632,0.057822917,0.049116667
0.104471029,0.426657499,0.166203634,0.385986813,1.469779811,0.120172522,0.154947008,6.81712304,0.052952083,0.053996875
0.108704427,0.478645346,0.242448804,0.551909046,1.484318356,0.204756108,0.181310019,7.405864094,0.095204167,0.031653125
0.10050944,0.824813645,0.126133596,0.636537735,1.329621092,0.143751885,0.212950427,7.340912248,0.0425875,0.060230208
0.123017578,0.86174695,0.158488899,0.488910922,1.152088131,0.165491989,0.176887906,7.342715974,0.050154167,0.078480208
0.132171224,1.358910528,0.294009101,0.38685012,1.169297682,0.21784945,0.196269637,7.213624775,0.071639583,0.07763125
0.107674154,1.456958188,0.229203043,0.659837725,1.72534212,0.165042016,0.246149946,7.431949589,0.057322917,0.057879167
0.129519857,1.542951462,0.286245697,0.4731953,1.24500411,0.180736467,0.209282305,7.476964345,0.058475,0.087633333
0.112249349,-0.368823476,0.175476068,0.576133553,1.602854211,0.090504989,0.232744542,7.501724479,0.056302083,0.05808125
0.117918294,0.793095049,0.211483254,0.509350911,0.757484732,0.184069144,0.222019256,6.903971341,0.040595833,0.083190625
0.114275716,0.887199585,0.265340056,0.496648399,0.818316139,0.256905735,0.217148925,7.140517535,0.038997917,0.091163542
0.108180339,0.678977817,0.253386868,0.59597572,1.943127965,0.219260532,0.244248022,7.537209334,0.058029167,0.073770833
0.102563477,1.041106569,0.301386957,0.68741156,1.703367374,0.268039692,0.189375658,7.442610869,0.063647917,0.051038542
0.104344076,1.757696357,0.238165846,0.681354435,2.201506461,0.187658409,0.252748439,7.385650472,0.051045833,0.068164583
0.122734375,1.363576708,0.281210647,0.613556539,1.434951473,0.251303205,0.211404759,7.511703679,0.0586375,0.08125625
0.122265625,1.86695934,0.245484236,0.508843852,1.620315202,0.198554607,0.241307658,7.578647414,0.047266667,0.086478125
0.095864258,1.778144988,0.323850527,0.640043301,2.164675787,0.261918276,0.21984973,7.463106155,0.070916667,0.04215625
0.098570964,-2.514778029,0.227895708,0.688145501,1.562454522,0.217542701,0.229455395,7.294883475,0.06418125,0.044705208
0.107664388,1.761144487,0.298566429,0.593581023,1.807347977,0.253213391,0.223392541,7.467743247,0.05191875,0.0686875
0.110470378,0.75965155,0.13413501,0.521210031,1.349035657,0.149015651,0.212398209,7.35186218,0.042825,0.066369792
0.111020508,0.616483188,0.163257033,0.516987413,1.500744482,0.180036888,0.206446114,7.449432019,0.056272917,0.062597917
0.089316406,-2.519206161,0.170538034,0.666466146,2.334961176,0.167274544,0.237154745,7.450908646,0.054922917,0.040690625
0.126341146,0.738778603,0.30052577,0.387072355,1.365813544,0.262498399,0.174075114,7.199047436,0.04915625,0.089836458
0.120579427,0.786349512,0.167865987,0.440349265,1.505541918,0.116200538,0.226417645,7.204942496,0.032222917,0.0970875
0.105288086,2.115530516,0.286309668,0.481466797,1.610041976,0.148411875,0.203317456,7.381677188,0.044908333,0.07801875
0.130769857,1.517214928,0.253403037,0.47888137,1.045348343,0.203676296,0.225830777,7.54830568,0.07896875,0.07235625
0.135563151,1.091584436,0.37089539,0.416653212,0.549347173,0.187021304,0.15632946,6.946503785,0.052375,0.097814583
0.12917806,1.35083331,0.226486062,0.436162658,0.86508628,0.19861344,0.174110494,7.258588626,0.043022917,0.087225
0.127148438,1.600708033,0.222071826,0.456055173,1.02520899,0.18018412,0.182057709,7.307726264,0.042102083,0.083932292
