,MedianHHIncome,Walkability,Preference,Imageability,Complexity,Enclosure,Transparency,Humanscale,Disorder
79,49574,NaN0.970816750616223,NaN0.664377271766318,NaN0.119750601156477,NaN1.42172445431331,NaN0.722752069430181,NaN0.860058348523903,NaN0.428383948672207,NaN0.533020835979602
80,73507,NaN0.328069108828928,NaN0.843185781768762,NaN0.229191547908759,0.149233932,NaN0.722752069430181,NaN0.0698582679892935,NaN0.771091107609978,0.495387068
81,73507,0.153991623,NaN0.75378152676754,NaN0.77639628167015,NaN1.32353955517895,0.350243179,NaN1.25515838879121,1.627859005,NaN0.738702416867923
82,73507,NaN0.810129840169397,NaN0.843185781768762,NaN1.21416006867926,NaN1.51990935344767,0.935513314,NaN0.464958308256598,1.170916126,0.289705488
83,73507,0.555708899,0.229665278,NaN0.77639628167015,NaN1.42172445431331,NaN0.625207046856724,NaN0.781038340470441,NaN1.45650542548551,NaN0.327339255091281
84,105179,1.359143451,0.587282298,1.959627387,1.818377217,0.740423269,1.273481869,0.485501808,0.392546278
85,105179,1.118113085,1.749537613,1.302981707,NaN0.243505664700979,0.642878247,NaN0.148878276042751,1.856330444,NaN0.430180045535442
86,105179,NaN0.569099474499163,NaN0.127951741758991,NaN0.0103096544042018,NaN0.636245261238423,0.252698156,NaN0.939078356577365,0.485501808,NaN0.121657674202966
87,105179,0.957426175,0.229665278,0.755776973,0.934713125,0.935513314,1.905641933,0.828208967,0.701068649
88,94355,0.395021988,0.497878043,0.427454133,NaN0.145320765566617,1.715873495,NaN0.148878276042751,1.513623285,NaN0.841543207312084
89,94355,NaN0.167382198382107,0.140261023,0.099131292,NaN0.341690563835342,NaN0.722752069430181,NaN0.0698582679892935,NaN0.656855387964054,0.289705488
90,94355,NaN0.89047329539281,NaN0.664377271766318,NaN0.229191547908759,0.443788629,1.52078345,0.167201756,NaN0.885326827255901,0.701068649
91,94355,0.796739264,1.034303573,1.631304547,2.014747015,NaN0.332571979136333,1.273481869,NaN1.45650542548551,NaN0.121657674202966
92,129205,2.082234548,2.107154633,1.740745494,0.051049033,NaN0.430117001709797,NaN1.33417839684467,NaN0.656855387964054,NaN0.635861626423762
93,129205,NaN0.569099474499163,NaN1.11139854677242,NaN0.229191547908759,0.640158428,0.740423269,1.984661941,1.742094725,1.112431811
94,129205,1.439486906,2.285963143,2.069068334,0.541973528,2.30114363,NaN1.01809836463082,1.285151846,NaN1.35574715953288
95,129205,0.073648167,NaN0.306760251761435,NaN0.885837228422432,NaN0.636245261238423,NaN0.722752069430181,NaN0.860058348523903,NaN1.45650542548551,NaN0.430180045535442
96,128421,NaN0.729786384945989,NaN1.20080280177364,NaN1.43304196218382,NaN0.439875462969704,0.057608111,NaN1.25515838879121,NaN0.999562546901818,0.80390944
97,128421,NaN0.167382198382107,NaN0.574973016765101,NaN0.885837228422432,NaN1.51990935344767,1.423238427,NaN1.41319840489813,1.056680407,NaN1.15006557864455
98,128421,1.760860727,1.302516338,0.427454133,NaN0.93079995864151,0.447788201,NaN1.17613838073774,NaN0.656855387964054,NaN0.841543207312084
99,128421,1.600173817,1.213112083,0.974658866,NaN0.145320765566617,0.935513314,NaN1.25515838879121,0.828208967,NaN1.35574715953288
100,73449,0.395021988,0.319069533,0.646336026,1.327452721,NaN0.332571979136333,0.00916174,NaN0.428383948672207,0.701068649
101,73449,2.403608369,1.749537613,2.287950227,1.52382252,NaN0.137481933989406,0.40426178,NaN0.771091107609978,NaN0.944383997756244
102,73449,0.716395809,1.481324848,2.178509281,2.800226208,NaN1.30802220487095,0.957401837,NaN1.11379826654774,0.598227859
103,73449,NaN0.0066952879352856,0.140261023,0.208572239,NaN0.243505664700979,NaN0.52766202428326,NaN0.385938300203136,0.14279465,NaN1.45858794997704
104,73449,1.19845654,1.213112083,0.646336026,NaN0.145320765566617,1.423238427,NaN0.148878276042751,2.313273323,NaN0.22449846464712
105,73449,NaN0.0870387431586941,NaN0.127951741758991,NaN0.119750601156477,NaN0.243505664700979,NaN0.722752069430181,0.088181748,NaN0.085676789734444,NaN1.04722478820039
