state,county_num,fixed tract,block_group,GEOID,GEOID_text,TotalPop,TotalMedianAge,MalePop,MMedianAge,FemalePop,FMedianAge,TotalAll,White,BlackorAA,Native,Asian,PacificIslander,Other,TwoPlus,HispanicLatino,MedianHHIncome,TotalCivLaborForce,TotalCivEmployed,TotalCivUnemployed,TotalEdu,NoSchooling,Nursery,Kindergarten,1stGrade,2ndGrade,3rdGrade,4thGrade,5thGrade,6thGrade,7thGrade,8thGrade,9thGrade,10thGrade,11thGrade,12thGradeNoGrad,HSGrad,GEDHSGrad,1YrCollege,1PlusYrsCollegeNoDeg,AssociatesDeg,BachelorsDeg,MastersDeg,ProSchoolDeg,DoctorateDeg,Less10k,10k_14.9k,15k_19.9k,20k_24.9k,25k_29.9k,30k_34.9k,35k_39.9k,40k_44.9k,45k_49.9k,50k_59.9k,60k_749.9k,75k_99.9k,100k_124.9k,125k_149.9k,150k_199.9k,200k+,PercWhite,PercBlack,PercNative,PercAsian,PercPacificIslander,PercOther,PercTwoPlus,PercHispanicLatino,PercCivEmployed,PercCivUnemployed,PercNoHS,PercHS,PercCollege,PercMasters,PercProSchool,PercDoctorate
17,31,252102,4,17312521024,170312521024.00,1405,39.5,552,45.3,853,27.7,1405,135,1253,0,0,0,0,0,17,-666666666,914,851,63,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,29,0,94,166,130,42,0,0,122,0,0,0,53,0,0,25,0,24,44,22,23,0,84,0,9.608540925,89.18149466,0,0,0,0,0,1.209964413,93.10722101,6.892778993,0,54.14012739,41.40127389,4.458598726,0,0
17,31,804310,1,17318043101,170318043101.00,2599,41,1200,43,1399,40.8,2599,1310,0,0,706,0,0,48,535,97132,1286,1242,44,1916,20,0,0,0,9,0,0,10,0,0,0,40,0,75,0,391,12,212,204,235,512,182,14,0,48,0,57,11,0,14,10,17,40,79,86,121,148,231,28,66,50.40400154,0,0,27.16429396,0,0,1.846864179,20.58484032,96.5785381,3.421461897,8.037578288,21.03340292,60.6993737,9.498956159,0.730688935,0
17,31,250700,3,17312507003,170312507003.00,1062,35.4,516,36.5,546,31.6,1062,0,1048,0,0,0,0,6,8,-666666666,535,481,54,851,0,0,0,0,0,0,0,0,0,0,20,0,0,7,15,397,46,58,221,13,0,74,0,0,0,0,89,0,121,0,0,0,59,46,8,0,58,26,0,0,0,98.68173258,0,0,0,0,0.564971751,0.753295669,89.90654206,10.09345794,4.935370153,52.05640423,34.31257344,8.695652174,0,0
17,31,250700,4,17312507004,170312507004.00,1083,45,349,40.4,734,45.4,1083,0,648,0,0,0,46,0,389,-666666666,558,558,0,857,0,0,0,0,0,0,0,0,0,0,28,0,35,51,35,172,70,28,160,74,175,0,29,0,28,119,19,64,0,0,0,35,17,54,36,30,0,0,23,0,0,59.83379501,0,0,0,4.247460757,0,35.91874423,100,0,17.38623104,28.23803967,50.99183197,0,3.383897316,0
17,31,330200,2,17313302002,170313302002.00,2684,42.2,1146,40.5,1538,42.9,2684,1565,486,0,493,0,0,85,55,136354,1597,1558,39,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,11,92,97,17,769,530,291,87,49,11,28,0,0,0,0,13,0,74,109,145,117,98,310,286,58.30849478,18.10730253,0,18.3681073,0,0,3.166915052,2.049180328,97.5579211,2.442078898,0,6.458022851,48.43517139,26.32886239,14.45603577,4.321907601
17,31,340500,1,17313405001,170313405001.00,1591,50.5,792,47.4,799,61.6,1591,660,55,8,619,0,0,4,245,23854,780,707,73,1297,46,0,0,0,0,33,0,48,60,0,91,70,8,0,26,300,15,59,128,70,202,102,39,0,180,155,51,56,60,43,14,50,27,33,66,47,9,19,19,22,41.48334381,3.456945317,0.50282841,38.90634821,0,0,0.251414205,15.39912005,90.64102564,9.358974359,29.45258288,24.28681573,35.38936006,7.864302236,3.00693909,0
17,31,351500,1,17313515001,170313515001.00,28,58.2,16,-666666666,12,-666666666,28,0,28,0,0,0,0,0,0,20625,17,17,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,23,0,0,0,0,0,0,11,0,12,0,5,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,17.85714286,82.14285714,0,0,0
17,31,390300,1,17313903001,170313903001.00,1083,29.5,426,23,657,30.1,1083,15,1037,0,0,0,0,31,0,14127,439,260,179,587,0,0,0,0,0,0,0,0,0,0,12,0,25,0,35,154,54,25,116,56,46,42,7,15,202,114,76,88,0,0,25,0,28,0,24,9,0,15,0,0,1.385041551,95.75253924,0,0,0,0,2.862419206,0,59.22551253,40.77448747,12.26575809,35.43441227,41.39693356,7.155025554,1.192504259,2.555366269
17,31,400800,1,17314008001,170314008001.00,882,25,339,19.9,543,33.5,882,0,790,0,0,0,0,92,0,20904,378,306,72,441,56,0,0,0,0,0,0,0,0,0,0,20,0,92,25,121,0,0,67,50,0,10,0,0,97,0,49,125,0,0,41,20,0,20,0,0,0,0,0,0,0,89.569161,0,0,0,0,10.430839,0,80.95238095,19.04761905,43.76417234,27.43764172,26.53061224,2.267573696,0,0
17,31,410800,1,17314108001,170314108001.00,1227,31.1,613,31,614,31.6,1227,501,314,0,144,0,0,150,118,27614,762,740,22,893,0,0,0,0,34,0,0,0,4,0,0,0,3,10,11,100,21,32,97,43,247,196,19,76,200,90,31,32,11,43,11,7,23,66,47,70,24,5,0,47,40.83129584,25.59087205,0,11.73594132,0,0,12.22493888,9.616951915,97.11286089,2.887139108,6.942889138,13.54983203,46.92049272,21.94848824,2.127659574,8.510638298
